ear,blink_duration,mar,head_deviation,state
0.24224329966394936,0.11,0.0,0.0683337152004242,0
0.24389334977576332,0.11,0.01612903199791884,0.03609299659729004,0
0.2601367318479797,0.11,0.0,0.0417749285697937,0
0.25011855105633723,0.11,0.015624999755859379,0.04482731223106384,0
0.253720592399441,0.11,0.0,0.04353967308998108,0
0.2559997037627171,0.11,0.015623092756461085,0.032486915588378906,0
0.30510827523639683,0.11,0.0,0.04264277219772339,0
0.3180116786217122,0.11,0.022436530928279054,0.03669673204421997,0
0.34043529572831993,0.11,0.01586502316568782,0.035417914390563965,0
0.3318067932523526,0.11,0.0,0.03402078151702881,0
0.26374674968238687,0.11,0.015607861855923362,0.04367244243621826,0
0.2634755675567376,0.11,0.01586502316568782,0.04231652617454529,0
0.34081369130993744,0.11,0.0,0.035640835762023926,0
0.3282637142937829,0.11,0.0,0.01487720012664795,0
0.32703681136609775,0.11,0.015382794806573605,0.04307746887207031,0
0.33599238189438463,0.11,0.0,0.03526866436004639,0
0.33285663185923847,0.11,0.0,0.03381770849227905,0
0.10293801562263424,0.55,0.015377337657024464,0.01749679446220398,0
0.27199413585421506,0.11,0.0,0.03547930717468262,0
0.3118852856669221,0.11,0.0,0.03337419033050537,0
0.3158305126967575,0.11,0.0,0.024007737636566162,0
0.33580973446589596,0.11,0.014699525584870312,0.023503422737121582,0
0.30282240282250783,0.11,0.014284256578810155,0.02736485004425049,0
0.28667455480391923,0.11,0.0,0.03218567371368408,0
0.30635024955609946,0.11,0.015135886743788258,0.035826027393341064,0
0.3104851817491826,0.11,0.0,0.025596797466278076,0
0.3308397955072875,0.11,0.0,0.034805893898010254,0
0.2361225151008528,0.11,0.0,0.0325298011302948,0
0.26230398590667253,0.11,0.0,0.039235711097717285,0
0.2716472549055932,0.11,0.014923710750780365,0.03032475709915161,0
0.28869611329306144,0.11,0.0,0.032238125801086426,0
0.26601496661448787,0.11,0.015149776066751669,0.03847920894622803,0
0.12406387543561842,0.55,0.0,0.02826535701751709,0
0.2596859576157846,0.11,0.0,0.037070631980895996,0
0.21862640436905117,0.11,0.015607861855923362,0.02901357412338257,0
0.2714202801019725,0.11,0.0,0.03573831915855408,0
0.309966879224738,0.11,0.014279886745523327,0.040474772453308105,0
0.3243744840801843,0.11,0.0,0.04325619339942932,0
0.28862645765228023,0.11,0.0,0.03182235360145569,0
0.30195109853128377,0.11,0.014910433425617804,0.04297173023223877,0
0.31188957367863707,0.11,0.014486669133617897,0.04411822557449341,0
0.32233848536731546,0.11,0.0,0.050263047218322754,0
0.32682418149410286,0.11,0.015368255299950348,0.04971793293952942,0
0.32063652197939063,0.11,0.0,0.050080448389053345,0
0.30190151992603875,0.11,0.014704292225659943,0.04404187202453613,0
0.28706450104118325,0.11,0.02815784437197981,0.04715627431869507,0
0.2877584955821603,0.11,0.0,0.03634488582611084,0
0.30316687580602775,0.11,0.014699525584870312,0.024220526218414307,0
0.2734982184688014,0.11,0.0,0.024675369262695312,0
0.1504407353425216,0.55,0.014910433425617804,0.03389763832092285,0
0.2734982184688014,0.11,0.015623092756461085,0.04556399583816528,0
0.2864204247118075,0.11,0.0,0.044016629457473755,0
0.25590129945980056,0.11,0.015377337657024464,0.04260975122451782,0
0.23541416730897002,0.11,0.015149776066751669,0.05097585916519165,0
0.23962115643190557,0.11,0.0,0.04564988613128662,0
0.2423263549249405,0.11,0.02209438966240013,0.04243013262748718,0
0.22443307516470695,0.11,0.015382794806573605,0.037726759910583496,0
0.2593062811062793,0.11,0.021105314144686756,0.03313639760017395,0
0.2609532178274384,0.11,0.0,0.03269755840301514,0
0.25716194680637827,0.11,0.014923710750780365,0.029457807540893555,0
0.26320104048468285,0.11,0.0,0.03791886568069458,0
0.25313408043868346,0.11,0.0,0.03157836198806763,0
0.274811634586671,0.11,0.02175713139409175,0.03468883037567139,0
0.26604749087425134,0.11,0.0,0.03839278221130371,0
0.2852938956573472,0.11,0.015617375944958172,0.03914925456047058,0
0.27353834209768313,0.11,0.021754557042658804,0.02982431650161743,0
0.2769421622200192,0.11,0.0,0.03456151485443115,0
0.2693239544267845,0.11,0.015377337657024464,0.03035670518875122,0
0.2906284986574925,0.11,0.0,0.035181134939193726,0
0.21234648957980412,0.11,0.014486669133617897,0.03181493282318115,0
0.2536213089793077,0.11,0.015144563091026773,0.028957396745681763,0
0.27499391276358487,0.11,0.0,0.03206443786621094,0
0.26942120419634547,0.11,0.0,0.028881072998046875,0
0.2289647089856452,0.11,0.0,0.02954074740409851,0
0.26215339993474807,0.11,0.0,0.018765300512313843,0
0.23545375445855193,0.11,0.0,0.03404909372329712,0
0.25150109961262657,0.11,0.0,0.03452441096305847,0
0.2510375464060654,0.11,0.0,0.03311160206794739,0
0.2232640280724535,0.11,0.0,0.02231299877166748,0
0.23025795793748666,0.11,0.0,0.021904826164245605,0
0.20668851680162448,0.11,0.015623092756461085,0.02684071660041809,0
0.2503121912497779,0.11,0.0,0.029343366622924805,0
0.23685661409363917,0.11,0.0,0.03549802303314209,0
0.24233862240985998,0.11,0.015871016374834627,0.02989944815635681,0
0.2456200046778298,0.11,0.0,0.026040196418762207,0
0.2589445289573353,0.11,0.0,0.03501194715499878,0
0.2621875067936372,0.11,0.015149776066751669,0.016024291515350342,0
0.29735920015297646,0.11,0.0,0.031525611877441406,0
0.29735920015297646,0.11,0.0149253729115616,0.03524279594421387,0
0.2932351524638426,0.11,0.0,0.03585231304168701,0
0.25907914380859254,0.11,0.0,0.03041374683380127,0
0.25376908641745505,0.11,0.0,0.03028261661529541,0
0.24575481294713164,0.11,0.015871016374834627,0.03009963035583496,0
0.26908294394272025,0.11,0.0,0.03433716297149658,0
0.2552440849888219,0.11,0.0,0.03174072504043579,0
0.28814403894105395,0.11,0.0,0.024830520153045654,0
